target_id	length	eff_length	est_counts	tpm
Solyc00g005000.3.1	1377	1178	0	0
Solyc00g005040.3.1	914	715	0	0
Solyc00g005050.3.1	910	711	1534	79.1185
Solyc00g005060.1.1	273	74.5993	0	0
Solyc00g005080.2.1	288	89.1545	0	0
Solyc00g005084.1.1	189	20.9989	0	0
Solyc00g005090.1.1	285	86.2066	0	0
Solyc00g005092.1.1	222	34.6815	0	0
Solyc00g005094.1.1	240	46.2784	0	0
Solyc00g005096.1.1	1545	1346	0	0
Solyc00g005280.1.1	411	212	0	0
Solyc00g005283.1.1	2482	2283	0	0
Solyc00g005285.1.1	536	337	0	0
Solyc00g005287.1.1	369	170	0	0
Solyc00g005430.1.1	165	15.3999	0	0
Solyc00g005440.2.1	378	179	0	0
Solyc00g005445.1.1	429	230	0	0
Solyc00g005450.1.1	264	66.2053	0	0
Solyc00g005460.2.1	264	66.2053	0	0
Solyc00g005470.2.1	239	45.5517	0	0
Solyc00g005480.1.1	366	167	0	0
Solyc00g005840.3.1	1372	1173	7	0.218838
Solyc00g005850.2.1	566	367	0	0
Solyc00g005890.3.1	1243	1044	0	0
Solyc00g005900.2.1	322	123.003	0	0
Solyc00g006020.1.1	318	119.005	0	0
Solyc00g006090.1.1	765	566	0	0
Solyc00g006170.1.1	612	413	0	0
Solyc00g005903.1.1	468	269	0	0
Solyc00g005907.1.1	2693	2494	111.953	1.64612
Solyc00g006480.1.1	672	473	0	0
Solyc00g006483.1.1	381	182	0	0
Solyc00g006487.1.1	315	116.007	0	0
Solyc00g006490.3.1	3713	3514	2356	24.5865
Solyc00g006500.1.1	246	50.8321	0	0
Solyc00g006510.1.1	201	24.9909	0	0
Solyc00g006520.1.1	507	308	0	0
Solyc00g006530.1.1	993	794	0	0
Solyc00g006540.1.1	1437	1238	0	0
Solyc00g006550.1.1	633	434	0	0
Solyc00g006560.1.1	1287	1088	0	0
Solyc00g006590.2.1	2435	2236	0	0
Solyc00g006650.1.1	159	14.3664	0	0
Solyc00g006655.1.1	432	233	174.808	27.5123
Solyc00g006660.1.1	153	13.4437	0	0
Solyc00g006680.2.1	228	38.1945	1	0.960112
Solyc00g006683.1.1	411	212	0	0
Solyc00g006800.3.1	1732	1533	9761.03	233.494
Solyc00g006805.1.1	1118	919	654.974	26.1355
Solyc00g006810.3.1	1282	1083	9	0.304745
Solyc00g006820.3.1	2422	2223	2	0.0329923
Solyc00g006830.3.1	4020	3821	3844	36.8917
Solyc00g006840.3.1	344	145	0	0
Solyc00g006850.2.1	627	428	0	0
Solyc00g006860.2.1	288	89.1545	0	0
Solyc00g006867.1.1	603	404	0	0
Solyc00g006870.1.1	195	22.8744	0	0
Solyc00g006880.1.1	273	74.5993	0	0
Solyc00g006890.1.1	384	185	0	0
Solyc00g006900.1.1	486	287	0	0
Solyc00g006903.1.1	1248	1049	2	0.069916
Solyc00g006907.1.1	489	290	1	0.126452
Solyc00g007550.1.1	111	9.10829	0	0
Solyc00g007560.2.1	938	739	0	0
Solyc00g007555.1.1	680	481	0	0
Solyc00g007570.2.1	225	36.3941	0	0
Solyc00g007600.2.1	1893	1694	0	0
Solyc00g007910.1.1	561	362	1	0.101301
Solyc00g007920.1.1	366	167	0	0
Solyc00g007925.1.1	1932	1733	0	0
Solyc00g007930.1.1	489	290	0	0
Solyc00g007950.1.1	336	137	0	0
Solyc00g007960.1.1	426	227	0	0
Solyc00g007970.1.1	363	164	0	0
Solyc00g007980.1.1	336	137	0	0
Solyc00g007990.1.1	420	221	0	0
Solyc00g008000.1.1	1647	1448	0	0
Solyc00g008010.1.1	198	23.9008	0	0
Solyc00g008020.1.1	651	452	0	0
Solyc00g008030.1.1	378	179	0	0
Solyc00g008040.1.1	252	55.6961	0	0
Solyc00g008050.1.1	423	224	0	0
Solyc00g008055.1.1	4509	4310	0	0
Solyc00g008060.1.1	537	338	0	0
Solyc00g008070.2.1	624	425	0	0
Solyc00g008080.1.1	402	203	0	0
Solyc00g008090.2.1	3084	2885	0	0
Solyc00g008100.1.1	585	386	0	0
Solyc00g008110.1.1	1416	1217	0	0
Solyc00g008120.1.1	366	167	0	0
Solyc00g008130.1.1	477	278	0	0
Solyc00g008140.1.1	807	608	0	0
Solyc00g008150.1.1	306	107.022	0	0
Solyc00g008160.1.1	453	254	0	0
Solyc00g008165.1.1	1754	1555	58	1.36779
Solyc00g008260.2.1	72	6.94597	0	0
Solyc00g008265.1.1	501	302	0	0
Solyc00g008270.1.1	165	15.3999	0	0
Solyc00g008570.2.1	152	13.2996	0	0
Solyc00g008580.1.1	207	27.3759	0	0
Solyc00g008800.2.1	120	9.80347	0	0
Solyc00g008910.1.1	150	13.0193	0	0
Solyc00g008915.1.1	2940	2741	2.20387	0.0294849
Solyc00g009020.3.1	868	669	8476	464.609
Solyc00g009030.2.1	1281	1082	0	0
Solyc00g009040.3.1	3217	3018	0	0
Solyc00g009050.2.1	1611	1412	0	0
Solyc00g009060.3.1	763	564	423	27.5032
Solyc00g009070.1.1	387	188	1	0.195058
Solyc00g009080.3.1	474	275	434	57.8735
Solyc00g009090.3.1	4645	4446	4162	34.3285
Solyc00g009100.3.1	1868	1669	461	10.129
Solyc00g009110.3.1	1963	1764	3492	72.5935
Solyc00g009120.3.1	603	404	2	0.181539
Solyc00g009140.3.1	697	498	453	33.3573
Solyc00g009141.1.1	687	488	141	10.5955
Solyc00g009142.1.1	630	431	0	0
Solyc00g009143.1.1	624	425	1	0.0862846
Solyc00g009144.1.1	464	265	0	0
Solyc00g009145.1.1	1486	1287	1	0.0284934
Solyc00g009146.1.1	2023	1824	0	0
Solyc00g009540.1.1	702	503	1	0.0729045
Solyc00g009148.1.1	3132	2933	0	0
Solyc00g009650.1.1	318	119.005	0	0
Solyc00g009760.2.1	478	279	17522.2	2303.06
Solyc00g009765.1.1	618	419	0	0
Solyc00g010410.1.1	156	13.8921	0	0
Solyc00g010420.1.1	171	16.5603	0	0
Solyc06g024330.2.1	87	7.64624	0	0
Solyc00g010520.1.1	213	30.0561	0	0
Solyc00g010525.1.1	1428	1229	3243.43	96.7776
Solyc00g010530.1.1	177	17.866	0	0
Solyc00g010750.2.1	2550	2351	0	0
Solyc00g010760.1.1	699	500	0	0
Solyc00g010755.1.1	268	69.8927	0	0
Solyc00g010780.1.1	159	14.3664	0	0
Solyc00g010930.1.1	159	14.3664	0	0
Solyc00g011150.1.1	207	27.3759	0	0
Solyc00g011160.2.1	288	89.1545	3368.5	1385.53
Solyc00g011170.1.1	219	33.0557	0	0
Solyc00g011175.1.1	1784	1585	2.02629	0.0468808
Solyc03g043580.2.1	1308	1109	0	0
Solyc00g011670.1.1	183	19.3378	0	0
Solyc00g011673.1.1	699	500	0	0
Solyc00g011677.1.1	921	722	0	0
Solyc00g011870.1.1	369	170	0	0
Solyc00g011880.3.1	863	664	942	52.0242
Solyc00g011890.3.1	3346	3147	1595	18.586
Solyc00g011895.1.1	525	326	0	0
Solyc00g012430.1.1	177	17.866	0	0
Solyc00g012435.1.1	1314	1115	0	0
Solyc00g012440.1.1	381	182	364	73.3419
Solyc00g012540.1.1	1113	914	0	0
Solyc00g012640.1.1	1500	1301	0	0
Solyc00g012650.1.1	378	179	0	0
Solyc00g012660.1.1	1218	1019	0	0
Solyc00g012670.2.1	441	242	0	0
Solyc00g012680.1.1	378	179	0	0
Solyc00g012690.1.1	2004	1805	0	0
Solyc00g012700.2.1	707	508	0	0
Solyc00g012702.1.1	1986	1787	1	0.020521
Solyc00g012704.1.1	4137	3938	5.33536	0.0496833
Solyc00g012706.1.1	444	245	146	21.8529
Solyc00g012708.1.1	1125	926	0	0
Solyc00g013110.1.1	267	68.9638	0	0
Solyc00g013120.3.1	366	167	0	0
Solyc00g013130.3.1	789	590	0	0
Solyc00g013133.1.1	267	68.9638	0	0
Solyc00g013137.1.1	414	215	0	0
Solyc00g013140.2.1	1381	1182	99	3.07143
Solyc00g013150.1.1	294	95.0839	3	1.15701
Solyc00g013155.1.1	399	200	55	10.0845
Solyc00g013160.2.1	562	363	0	0
Solyc00g013170.1.1	210	28.6775	0	0
Solyc00g013180.1.1	531	332	0	0
Solyc00g013181.1.1	339	140	0	0
Solyc00g013183.1.1	1197	998	1	0.0367445
Solyc00g013184.1.1	1608	1409	0	0
Solyc00g013185.1.1	433	234	0	0
Solyc00g013186.1.1	1845	1646	0	0
Solyc00g013188.1.1	612	413	0	0
Solyc00g014170.1.1	285	86.2066	0	0
Solyc00g014180.1.1	393	194	0	0
Solyc00g014190.1.1	216	31.5146	0	0
Solyc00g014290.1.1	327	128.001	0	0
Solyc00g014390.1.1	267	68.9638	0	0
Solyc00g014395.1.1	1862	1663	0	0
Solyc00g014790.2.1	848	649	174	9.83166
Solyc00g014800.1.1	492	293	0	0
Solyc00g014810.1.1	165	15.3999	0	0
Solyc00g014820.2.1	700	501	0	0
Solyc00g014830.3.1	1665	1466	3	0.0750429
Solyc00g014840.1.1	342	143	22	5.64168
Solyc00g014850.1.1	312	113.011	0	0
Solyc00g014860.1.1	237	44.1265	0	0
Solyc00g014960.1.1	1968	1769	0	0
Solyc00g014970.1.1	1101	902	0	0
Solyc00g014980.1.1	1524	1325	0	0
Solyc00g014990.2.1	337	138	0	0
Solyc00g014995.1.1	264	66.2053	0	0
Solyc00g015000.1.1	492	293	0	0
Solyc00g015600.1.1	156	13.8921	0	0
Solyc00g015720.1.1	1563	1364	0	0
Solyc00g015730.2.1	285	86.2066	0	0
Solyc00g015733.1.1	885	686	0	0
Solyc00g015735.1.1	5446	5247	1	0.00698894
Solyc00g015737.1.1	2847	2648	170	2.35425
Solyc00g016470.1.1	189	20.9989	0	0
Solyc00g016480.1.1	552	353	0	0
Solyc00g016490.1.1	879	680	0	0
Solyc00g016590.2.1	930	731	0	0
Solyc00g016790.1.1	162	14.8683	0	0
Solyc00g016900.1.1	381	182	0	0
Solyc00g016910.1.1	276	77.4659	0	0
Solyc00g016915.1.1	1339	1140	0	0
Solyc00g017210.2.1	1134	935	0	0
Solyc00g017220.2.1	795	596	0	0
Solyc00g017230.1.1	789	590	0	0
Solyc00g017235.1.1	510	311	0	0
Solyc00g017540.2.1	307	108.019	0	0
Solyc00g017550.2.1	304	105.028	0	0
Solyc00g017760.1.1	216	31.5146	0	0
Solyc00g017860.1.1	255	58.2335	0	0
Solyc00g017870.1.1	768	569	0	0
Solyc00g017880.1.1	3252	3053	0	0
Solyc00g017890.1.1	798	599	0	0
Solyc00g017900.1.1	426	227	0	0
Solyc00g017910.1.1	1200	1001	0	0
Solyc00g017920.1.1	1071	872	0	0
Solyc00g017930.1.1	753	554	0	0
Solyc00g017933.1.1	783	584	1	0.0627928
Solyc00g017937.1.1	435	236	0	0
Solyc00g018760.1.1	558	359	0	0
Solyc00g018770.1.1	2226	2027	0	0
Solyc00g018970.1.1	153	13.4437	0	0
Solyc00g019610.1.1	486	287	0	0
Solyc00g019620.2.1	2200	2001	0	0
Solyc00g019630.2.1	180	18.5798	0	0
Solyc00g019730.2.1	435	236	267	41.4879
Solyc00g019740.1.1	471	272	107	14.4257
Solyc00g019750.1.1	210	28.6775	0	0
Solyc00g019950.1.1	573	374	0	0
Solyc00g019970.2.1	911	712	2	0.103008
Solyc00g019980.2.1	869	670	394	21.5647
Solyc00g019990.1.1	216	31.5146	0	0
Solyc00g020000.1.1	174	17.1937	0	0
Solyc00g020010.1.1	228	38.1945	0	0
Solyc00g020020.2.1	859	660	2	0.111124
Solyc00g020030.1.1	201	24.9909	0	0
Solyc00g020040.1.1	621	422	0	0
Solyc00g020440.1.1	195	22.8744	0	0
Solyc00g020540.2.1	2957	2758	0	0
Solyc00g020545.1.1	1408	1209	1145	34.7297
Solyc00g020940.1.1	1044	845	0	0
Solyc00g020960.1.1	1698	1499	0	0
Solyc00g020970.1.1	1383	1184	0	0
Solyc00g020980.1.1	213	30.0561	0	0
Solyc00g020990.2.1	1210	1011	0	0
Solyc00g021490.2.1	708	509	0	0
Solyc00g021500.2.1	612	413	0	0
Solyc00g021510.2.1	684	485	0	0
Solyc00g021520.1.1	1710	1511	0	0
Solyc00g021530.2.1	2076	1877	0	0
Solyc00g021630.1.1	654	455	1	0.0805955
Solyc00g021640.3.1	1372	1173	598	18.695
Solyc00g021650.1.1	231	40.0835	0	0
Solyc00g021655.1.1	1677	1478	200.742	4.98064
Solyc00g022070.1.1	153	13.4437	0	0
Solyc00g022080.1.1	213	30.0561	0	0
